渔船ID,x,y,速度,方向,time
7013,6078935.491077399,4990139.208239588,3.99,264,1117 11:59:26
7013,6080167.246076885,4990104.197001687,3.89,273,1117 11:49:18
7013,6082209.790941946,4989503.647830058,8.2,282,1117 11:39:08
7013,6084667.2793983,4989109.048020209,2.21,244,1117 11:29:10
7013,6087116.744351363,4988281.03393095,4.48,293,1117 11:19:04
7013,6088531.669549547,4987047.860771373,0.81,340,1117 11:09:04
7013,6088839.689455703,4987039.3822871335,2.0,211,1117 10:59:04
7013,6089465.868347513,4987564.9420875665,3.72,237,1117 10:49:01
7013,6090299.364529343,4988193.42986875,3.62,249,1117 10:39:12
7013,6091130.781542648,4988713.496509755,3.29,230,1117 10:29:24
7013,6092066.817949932,4989339.354532072,3.29,234,1117 10:19:03
7013,6093002.784381532,4989965.313123902,3.72,241,1117 10:09:03
7013,6093836.028374469,4990594.146357245,3.18,240,1117 09:59:03
7013,6094771.858376356,4991220.296670213,3.78,258,1117 09:48:59
7013,6095707.618243649,4991846.547503883,4.59,198,1117 09:39:00
7013,6096540.666660995,4992475.6458546985,3.62,225,1117 09:28:59
7013,6097673.6714193225,4992662.526487228,2.37,314,1117 09:18:58
7013,6097450.621238606,4991691.328820203,3.72,40,1117 09:09:26
7013,6096514.917941352,4991064.921440498,2.21,30,1117 08:58:56
7013,6095581.130780238,4990547.126611433,3.89,61,1117 08:48:55
7013,6094645.293306344,4989920.917566199,3.29,61,1117 08:38:56
7013,6093711.384470672,4989403.316116202,3.51,40,1117 08:28:54
7013,6092777.417987356,4988885.810233202,10.09,115,1117 08:18:53
7013,6091946.060240756,4988365.6058928585,2.0,179,1117 08:09:06
7013,6091011.98152791,4987848.2818287965,2.0,71,1117 07:58:50
7013,6090077.8452982325,4987331.053366968,2.91,20,1117 07:48:50
7013,6089246.326806578,4986811.09945648,3.08,61,1117 07:38:50
7013,6088515.401975691,4986179.901731251,5.18,356,1117 07:28:49
7013,6087782.38466714,4985440.280961223,4.48,284,1117 07:18:47
7013,6087997.934198553,4985977.068571515,2.81,202,1117 07:08:46
7013,6088213.47145104,4986513.8712487435,3.78,243,1117 06:58:48
7013,6089254.441270848,4987245.086292415,3.99,231,1117 06:48:44
7013,6090295.320372407,4987976.427616842,3.4,235,1117 06:38:45
7013,6091334.093525808,4988599.391552773,3.99,230,1117 06:28:46
7013,6092272.1377371475,4989333.771960447,3.99,247,1117 06:19:09
7013,6093312.755352729,4990065.478415143,2.59,277,1117 06:08:41
7013,6094145.98263371,4990694.339356218,3.72,232,1117 05:58:42
7013,6095081.795422788,4991320.520476174,4.1,232,1117 05:48:38
7013,6096017.538062655,4991946.802113024,3.4,263,1117 05:38:37
7013,6096951.232206932,4992464.6639679605,3.78,236,1117 05:28:37
7013,6097985.535940427,4992871.365616988,4.59,265,1117 05:18:45
7013,6097245.327092608,4991696.807710077,3.08,50,1117 04:58:33
7013,6096514.917941352,4991064.921440498,3.08,50,1117 04:48:27
7013,6095583.1171947215,4990655.639072125,2.91,50,1117 04:38:31
7013,6094852.599532283,4990023.896417508,3.29,40,1117 04:28:30
7013,6093920.700236483,4989614.781920861,2.91,71,1117 04:18:28
7013,6092986.752103978,4989097.2527688965,3.4,50,1117 04:08:30
7013,6092052.746356058,4988579.819192022,2.81,40,1117 03:58:25
7013,6091221.351000087,4988059.679910962,5.61,61,1117 03:48:24
7013,6090285.21147644,4987433.929360261,4.8,30,1117 03:38:23
7013,6089451.677484278,4986805.460414432,0.81,20,1117 03:28:21
7013,6088515.401975691,4986179.901731251,1.03,136,1117 03:18:21
7013,6088519.468352875,4986396.888960905,1.3,194,1117 03:08:20
