渔船ID,x,y,速度,方向,time,type
6139,6354834.030575241,5315763.632092351,0.22,115,1030 23:59:54,拖网
6139,6354834.030575241,5315763.632092351,0.11,115,1030 23:50:03,拖网
6139,6354834.030575241,5315763.632092351,0.22,50,1030 23:40:09,拖网
6139,6354834.030575241,5315763.632092351,0.11,332,1030 23:30:01,拖网
6139,6354834.030575241,5315763.632092351,0.32,122,1030 23:20:03,拖网
6139,6354834.030575241,5315763.632092351,0.32,122,1030 23:10:11,拖网
6139,6354834.030575241,5315763.632092351,0.22,122,1030 22:59:56,拖网
6139,6354834.030575241,5315763.632092351,0.22,0,1030 22:49:51,拖网
6139,6354834.030575241,5315763.632092351,0.22,0,1030 22:39:50,拖网
6139,6354834.030575241,5315763.632092351,0.32,128,1030 22:29:49,拖网
6139,6354834.030575241,5315763.632092351,0.0,128,1030 22:19:54,拖网
6139,6354834.030575241,5315763.632092351,0.11,247,1030 22:09:47,拖网
6139,6354834.030575241,5315763.632092351,0.22,247,1030 21:59:51,拖网
6139,6354834.030575241,5315763.632092351,0.11,210,1030 21:49:46,拖网
6139,6354834.030575241,5315763.632092351,0.11,210,1030 21:39:47,拖网
6139,6354834.16492566,5315873.2911384,0.11,140,1030 21:29:44,拖网
6139,6354834.16492566,5315873.2911384,0.11,140,1030 21:19:49,拖网
6139,6354834.030575241,5315763.632092351,0.22,358,1030 21:09:43,拖网
6139,6354834.030575241,5315763.632092351,0.22,358,1030 20:59:43,拖网
6139,6354834.030575241,5315763.632092351,0.32,0,1030 20:49:54,拖网
6139,6354834.030575241,5315763.632092351,0.22,0,1030 20:39:45,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 20:29:39,拖网
6139,6354834.030575241,5315763.632092351,0.11,0,1030 20:19:42,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 20:10:08,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 20:00:12,拖网
6139,6354834.030575241,5315763.632092351,0.0,223,1030 19:39:32,拖网
6139,6354834.030575241,5315763.632092351,0.11,116,1030 19:29:34,拖网
6139,6354834.030575241,5315763.632092351,0.22,116,1030 19:19:32,拖网
6139,6354834.030575241,5315763.632092351,0.0,116,1030 19:09:34,拖网
6139,6354834.030575241,5315763.632092351,0.22,113,1030 18:59:35,拖网
6139,6354834.030575241,5315763.632092351,0.11,71,1030 18:49:33,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 18:39:28,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 18:29:27,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 18:19:26,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 18:09:26,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 17:59:32,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 17:49:22,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 17:39:36,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 17:29:19,拖网
6139,6354834.030575241,5315763.632092351,0.11,0,1030 17:19:32,拖网
6139,6354834.030575241,5315763.632092351,0.11,116,1030 17:09:19,拖网
6139,6354834.030575241,5315763.632092351,0.0,116,1030 16:59:48,拖网
6139,6354834.16492566,5315873.2911384,0.0,0,1030 16:49:16,拖网
6139,6354834.16492566,5315873.2911384,0.22,0,1030 16:39:18,拖网
6139,6354834.030575241,5315763.632092351,0.22,0,1030 16:29:14,拖网
6139,6354834.030575241,5315763.632092351,0.22,0,1030 16:19:25,拖网
6139,6354834.030575241,5315763.632092351,0.22,0,1030 16:09:23,拖网
6139,6354834.030575241,5315763.632092351,0.11,0,1030 15:59:17,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 15:49:10,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 15:39:10,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 15:29:13,拖网
6139,6354834.030575241,5315763.632092351,0.0,0,1030 15:19:23,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 15:09:14,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 14:59:15,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 14:49:28,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 14:29:27,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 14:20:00,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 14:09:12,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 14:09:02,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 13:59:03,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 13:49:02,拖网
6139,6354834.030575241,5315763.632092351,0.0,227,1030 13:38:57,拖网
6139,6354834.030575241,5315763.632092351,0.0,240,1030 13:28:52,拖网
6139,6354834.030575241,5315763.632092351,0.0,240,1030 13:18:52,拖网
6139,6354834.030575241,5315763.632092351,0.0,240,1030 13:18:48,拖网
